"id_pe","sdom_bio","type_eco","origine","iter","annee","temps","tbe","pert","hd","is","stbop","stpeu","stft","stri","strt","stsab","stepn","stepx","sttot","nbop","npeu","nft","nri","nrt","nsab","nepn","nepx","ntot","vbop","vpeu","vft","vri","vrt","vsab","vepn","vepx","vtot","pct_bop","pct_peu","pct_ft","pct_ri","pct_rt","pct_sab","pct_epn","pct_epx","dqrt","dqft","dqri","dqepn","dqepx","dqsab","dqbop","dqpeu","dqtot"
319801702,"4E","RE20","BR",1,0,50,0,0,13.9351062109923,0.52215213004644,0,0,0,0,0,1.27234502470387,15.0089589025252,0,16.2813039272291,0,0,0,0,0,50,1225,0,1275,0,0,0,0,0,5.81924274630006,60.1845241285371,0,66.0037668748371,0,0,0,0,0,7.81476121562952,92.1852387843705,0,NA,NA,NA,12.4899959967968,NA,18,NA,NA,12.7510091872807
319801702,"4E","RE20","BR",1,10,60,0,0,16.4455464937517,0.467844988704541,0,0,0,0,0,1,20.7824135870359,0,21.7824135870359,0,0,0,0,0,25,1426.74020861545,0,1451.74020861545,0,0,0,0,0,5.96044720950188,100.852533902955,0,106.812981112457,0,0,0,0,0,4.59085948397915,95.4091405160209,0,NA,NA,NA,13.618541563887,NA,22.5675833419103,NA,NA,13.8217682363839
319801702,"4E","RE20","BR",2,0,50,0,0,10.9640619421029,0.52215213004644,0,0,0,0,0,1.27234502470387,15.0089589025252,0,16.2813039272291,0,0,0,0,0,50,1225,0,1275,0,0,0,0,0,6.53074530628693,48.2817073311634,0,54.8124526374504,0,0,0,0,0,7.81476121562952,92.1852387843705,0,NA,NA,NA,12.4899959967968,NA,18,NA,NA,12.7510091872807
319801702,"4E","RE20","BR",2,10,60,0,0,11.5919745579414,0.51672893042006,0,0,0,0,0,1,27.3859680620521,0,28.3859680620521,0,0,0,0,0,6.78686018406256,1783.81808163698,0,1790.60494182104,0,0,0,0,0,2.83310716323696,120.573247877598,0,123.406355040835,0,0,0,0,0,3.5228673470427,96.4771326529573,0,NA,NA,NA,13.9811800007064,NA,43.3132336417339,NA,NA,14.2071519315212
319801702,"4E","RE20","BR",3,0,50,0,0,11.6360103858128,0.52215213004644,0,0,0,0,0,1.27234502470387,15.0089589025252,0,16.2813039272291,0,0,0,0,0,50,1225,0,1275,0,0,0,0,0,7.86535360762219,64.4030247390213,0,72.2683783466434,0,0,0,0,0,7.81476121562952,92.1852387843705,0,NA,NA,NA,12.4899959967968,NA,18,NA,NA,12.7510091872807
319801702,"4E","RE20","BR",3,10,60,0,0,14.4695052679747,0.600653342100861,0,0,0,0,0,0.0899745728467782,22.3920374708079,0,22.4820120436546,0,0,0,0,0,210.558009815937,1441.94461317033,0,1652.50262298627,0,0,0,0,0,1.40102020128223,112.55772384496,0,113.958744046243,0,0,0,0,0,0.40020694176335,99.5997930582367,0,NA,NA,NA,14.0613680533531,NA,2.33253985232017,NA,NA,13.1613842493983
319801702,"4E","RE20","BR",4,0,50,0,0,11.4178785032801,0.52215213004644,0,0,0,0,0,1.27234502470387,15.0089589025252,0,16.2813039272291,0,0,0,0,0,50,1225,0,1275,0,0,0,0,0,6.64226924232901,57.7445812376149,0,64.3868504799439,0,0,0,0,0,7.81476121562952,92.1852387843705,0,NA,NA,NA,12.4899959967968,NA,18,NA,NA,12.7510091872807
319801702,"4E","RE20","BR",4,10,60,0,0,14.1818582139693,0.541604439039285,0,0,0,0,0,2.72501805392166,22.0513103263014,0,24.776328380223,0,0,0,0,0,169.41904748625,1405.58999048939,0,1575.00903797564,0,0,0,0,0,6.2773559291395,112.243437158338,0,118.520793087478,0,0,0,0,0,10.9984740761542,89.0015259238458,0,NA,NA,NA,14.1332789892281,NA,14.3106260526662,NA,NA,14.152462356497
319801702,"4E","RE20","BR",5,0,50,0,0,10.9099162087206,0.52215213004644,0,0,0,0,0,1.27234502470387,15.0089589025252,0,16.2813039272291,0,0,0,0,0,50,1225,0,1275,0,0,0,0,0,4.87169391392376,52.3252561917128,0,57.1969501056366,0,0,0,0,0,7.81476121562952,92.1852387843705,0,NA,NA,NA,12.4899959967968,NA,18,NA,NA,12.7510091872807
319801702,"4E","RE20","BR",5,10,60,0,0,10.0156518991334,0.569893481301012,0,0,0,0,0,3.42672083090461,20.1311785810978,0,23.5578994120024,0,0,0,0,0,96.1036032381949,1336.79431985184,0,1432.89792309004,0,0,0,0,0,18.0794556292916,83.7848923247582,0,101.86434795405,0,0,0,0,0,14.5459523829988,85.4540476170012,0,NA,NA,NA,13.8470533118864,NA,21.3071118702558,NA,NA,14.4682403336769
319801702,"4E","RE20","BR",6,0,50,0,0,12.4515992254365,0.52215213004644,0,0,0,0,0,1.27234502470387,15.0089589025252,0,16.2813039272291,0,0,0,0,0,50,1225,0,1275,0,0,0,0,0,6.3721473312102,57.2401146623506,0,63.6122619935608,0,0,0,0,0,7.81476121562952,92.1852387843705,0,NA,NA,NA,12.4899959967968,NA,18,NA,NA,12.7510091872807
319801702,"4E","RE20","BR",6,10,60,0,0,12.069019335806,0.605209595667093,0,0,0,0,0,2.09116824108221,20.393795759022,0,22.4849640001042,0,0,0,0,0,171.447809917281,1413.72272098613,0,1585.17053090341,0,0,0,0,0,9.81034209487918,93.6191426964959,0,103.429484791375,0,0,0,0,0,9.30029614934015,90.6997038506599,0,NA,NA,NA,13.5525797996049,NA,12.4618803086657,NA,NA,13.4388826798979
