an_mes;latitude;longitude;altitude;sdom_bio;reg_eco;type_eco;id_pe;origine;temps;stft;strt;stri;stpeu;stbop;stepn;stsab;stepx;vft;vrt;vri;vpeu;vbop;vepn;vsab;vepx;hd;is;nsab;nepn;nepx;nrt;nri;npeu;nbop;nft
2007;47.884548;-72.649525;260;4O;4c;RE22;0700200501_N_1970;CT;37;0;1.706;2.647;0;0;16.803;3.617;1.566;0;7.9928493128;14.011660645;0;0;86.256929237;17.017307758;8.2618801067;15.445063536;0.6235225435;250;1200;75;100;200;0;0;0
2014;47.43823;-73.37042;318;4O;4c;RS22;1419610501_N_1922;BR;92;0.208;0;0;7.8837150341;0.825;12.293;8.8166192983;0.601;0.5188908831;0;0;73.359296311;5.7041899795;92.793647843;62.022606821;3.5210847756;23.331349106;0.7837112115;275;375;25;0;0;150;25;25
