iqs_pot_EPN;iqs_pot_EPB;iqs_pot_BOP;iqs_pot_PEX;iqs_pot_PIG;iqs_pot_SAB;iqs_pot_PIB;iqs_pot_THO;latitude;longitude;altitude;sdom_bio;reg_eco;type_eco;id_pe;prec_gs;temp_gs;origine;temps;stft;strt;stri;stpeu;stbop;stepn;stsab;stepx;vft;vrt;vri;vpeu;vbop;vepn;vsab;vepx;cec;clay;oc;ph;sand;silt;p_tot;t_ma;hd;is;nsab;nepn;nepx;nrt;nri;npeu;nbop;nft
16.319237888;16.781699398;14.257133524;18.034907158;20.664219276;15.169954855;17.153407072;11.008998234;47.884548;-72.649525;260;4O;4c;RE22;0700200501_N_1970;567.7;14.964285714;CT;37;0;1.706;2.647;0;0;16.803;3.617;1.566;0;7.9928493128;14.011660645;0;0;86.256929237;17.017307758;8.2618801067;1.8707318306;4.7537193298;9.6521310806;3.8071587086;72.878433228;22.379598618;950.8;2.7;15.445063536;0.6235225435;250;1200;75;100;200;0;0;0
15.262850193;16.000452615;14.022041495;17.414340589;19.377073017;14.214052259;16.260234556;10.455725245;47.43823;-73.37042;318;4O;4c;RS22;1419610501_N_1922;493.52857143;14.928571429;BR;92;0.208;0;0;7.8837150341;0.825;12.293;8.8166192983;0.601;0.5188908831;0;0;73.359296311;5.7041899795;92.793647843;62.022606821;3.5210847756;1.8250141144;6.9769053459;8.5449552536;3.9064350128;70.432991028;22.599601746;934.8;2.1;23.331349106;0.7837112115;275;375;25;0;0;150;25;25
